name,url,remote_testing,adaptive_irt,test_types,solution_type,test_types_expanded,description,duration,languages,job_levels,assessment_length,downloads,name_verification
Account Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/account-manager-solution/,Yes,Yes,"C, P, A, B",Pre-packaged Job Solutions,,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.",Not specified,"English (USA),","Mid-Professional,",Approximate Completion Time in minutes = 49,"[{'title': 'Product Flyer (USE)', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Account%20Manager%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Account Manager Solution
Administrative Professional - Short Form,https://www.shl.com/solutions/products/product-catalog/view/administrative-professional-short-form/,Yes,Yes,"A, K, P",Pre-packaged Job Solutions,,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 36,"[{'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Administrative%20Professional%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Administrative Professional - Short Form
Agency Manager Solution,https://www.shl.com/solutions/products/product-catalog/view/agency-manager-solution/,Yes,Yes,"A, B, P, S",Pre-packaged Job Solutions,,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.",Not specified,"English (USA),","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 51,"[{'title': 'Product fact sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet_%20Agency%20Manager%20Solution%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Agency Manager Solution
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,Yes,No,"B, P",Pre-packaged Job Solutions,,"The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organisations whose business spans across regions.",Not specified,"English International, German,","General Population, Graduate, Entry-Level,",Approximate Completion Time in minutes = 30,"[{'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Detailed%20Sample%20Report%20(English%20-%20Aug%202023).pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Candidate%20Sample%20Report%20(English%20-%20Aug%202023).pdf', 'language': 'English International'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Interview%20Sample%20Report%20(English%20-%20Aug%202023).pdf', 'language': 'English International'}, {'title': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20JFA%20Product%20Fact%20Sheet.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Candidate%20Sample%20Report%20(German%20-%20Aug%202023).pdf', 'language': 'German'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Interview%20Sample%20Report%20(German%20-%20Aug%202023).pdf', 'language': 'German'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice%20%2B8.0%20-%20Detailed%20Sample%20Report%20(German%20-%20Aug%202023).pdf', 'language': 'German'}]",Apprentice + 8.0 Job Focused Assessment
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Yes,No,"B, P",Pre-packaged Job Solutions,,"The Apprentice 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment. This assessment is designed for entry-level positions appropriate for countries and industries that use an apprenticeship model. It is intended to be used multi-nationally for organizations whose business spans across regions.",Not specified,"English International, German, French,","Entry-Level, General Population, Graduate,",Approximate Completion Time in minutes = 20,"[{'title': 'Fact Sheet', 'url': 'https://service.shl.com/docs/Apprentice%208.0%20JFA%20Fact%20Sheet.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_INT.pdf', 'language': 'English International'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_INT.pdf', 'language': 'English International'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_INT.pdf', 'language': 'English International'}, {'title': 'Candidate Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_CandidateReport_DEU.pdf', 'language': 'German'}, {'title': 'Detailed Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_DetailedReport_DEU.pdf', 'language': 'German'}, {'title': 'Interview Report', 'url': 'https://service.shl.com/docs/Apprentice8.0_InterviewReport_DEU.pdf', 'language': 'German'}]",Apprentice 8.0 Job Focused Assessment
Bank Administrative Assistant - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,Yes,No,"A, B, K, P",Pre-packaged Job Solutions,,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 35,"[{'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Administrative%20Assistant%20One%20Sitting_USE.pdf', 'language': 'English International'}]",Bank Administrative Assistant - Short Form
Bank Collections Agent - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-collections-agent-short-form/,Yes,No,"A, B, P",Pre-packaged Job Solutions,,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 45,"[{'title': 'Fact Sheet Bank Collections Agent One Sitting', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Bank%20Collections%20Agent%20One%20Sitting.pdf', 'language': 'English (USA)'}]",Bank Collections Agent - Short Form
Bank Operations Supervisor - Short Form,https://www.shl.com/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,Yes,Yes,"A, B, P, S",Pre-packaged Job Solutions,,"The Bank Operations Supervisor solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Team Leader, First Line Supervisor, Processing Supervisor, Call Center Supervisor, and Customer Service Supervisor. There are multiple configurations and versions of this solution available.",Not specified,"English (USA),","Front Line Manager, Manager, Supervisor,",Approximate Completion Time in minutes = 45,"[{'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Bank%20Operations%20Supervisor%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Bank Operations Supervisor - Short Form
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Yes,Yes,"B, P, S, A",Pre-packaged Job Solutions,,"The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include making, updating, or canceling hotel reservations made in English or Spanish; listening to customers speak Spanish and entering information into a computer in English; providing information on the hotel and the services offered. Potential job titles that use this solution are: Bilingual Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.",Not specified,"English (USA), Latin American Spanish,","Entry-Level,",Approximate Completion Time in minutes = 43,"[{'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Hospitality%20Suite%20Bilingual%20Reservation%20Agent%20One%20Sitting_USE.pdf', 'language': 'English (USA)'}]",Bilingual Spanish Reservation Agent Solution
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,Yes,Yes,"P, S, K, B, A",Pre-packaged Job Solutions,,"The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. Sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. Potential job titles that use this solution are: Accounting Clerk, Bookkeeper, Accounting Associate, Auditing Clerk and Accounts Receivable Clerk.",Not specified,"English (USA),","Entry-Level,",Approximate Completion Time in minutes = 49,"[{'title': 'Product Fact Sheet', 'url': 'https://service.shl.com/docs/Fact%20Sheet%20Bookkeeping,%20Accounting,%20Auditing%20Clerk%20-%20Short%20Form.pdf', 'language': 'English International'}]","Bookkeeping, Accounting, Auditing Clerk Short Form"
